0,1,2,3,4,5,6,7,8,9,10
27868400000000.0,53970300000000.0,93081900000000.0,136875000000000.0,167475000000000.0,179535000000000.0,167682000000000.0,132453000000000.0,90225800000000.0,52481000000000.0,26468200000000.0
27953400000000.0,51414000000000.0,79358400000000.0,107996000000000.0,125063000000000.0,131925000000000.0,123876000000000.0,104895000000000.0,78807800000000.0,49439400000000.0,26424200000000.0
59847800000000.0,119127000000000.0,190012000000000.0,258036000000000.0,304139000000000.0,320802000000000.0,301960000000000.0,254725000000000.0,186543000000000.0,113254000000000.0,57563900000000.0
56000200000000.0,114013000000000.0,196542000000000.0,284119000000000.0,351175000000000.0,376916000000000.0,347640000000000.0,277468000000000.0,189351000000000.0,108701000000000.0,51615500000000.0
65570600000000.0,134698000000000.0,231207000000000.0,334122000000000.0,411082000000000.0,437181000000000.0,410256000000000.0,330770000000000.0,225292000000000.0,128186000000000.0,62313100000000.0
84788100000000.0,169894000000000.0,277882000000000.0,382161000000000.0,453845000000000.0,480320000000000.0,454709000000000.0,380332000000000.0,274722000000000.0,165943000000000.0,81261500000000.0
110606000000000.0,233226000000000.0,410315000000000.0,594833000000000.0,731902000000000.0,779424000000000.0,726232000000000.0,586677000000000.0,401326000000000.0,225045000000000.0,103811000000000.0
112337000000000.0,234062000000000.0,390521000000000.0,542911000000000.0,648967000000000.0,687867000000000.0,646349000000000.0,533774000000000.0,382229000000000.0,226655000000000.0,107909000000000.0
185736000000000.0,402966000000000.0,693060000000000.0,974115000000000.0,1167210000000000.0,1235130000000000.0,1164040000000000.0,963299000000000.0,675422000000000.0,390154000000000.0,178380000000000.0
190405000000000.0,418701000000000.0,742213000000000.0,1067730000000000.0,1297930000000000.0,1378870000000000.0,1297810000000000.0,1055880000000000.0,725197000000000.0,403936000000000.0,182498000000000.0
214421000000000.0,467224000000000.0,803722000000000.0,1128550000000000.0,1353490000000000.0,1432090000000000.0,1348970000000000.0,1118400000000000.0,789594000000000.0,447845000000000.0,204593000000000.0
306527000000000.0,667435000000000.0,1134930000000000.0,1570700000000000.0,1856940000000000.0,1943150000000000.0,1844750000000000.0,1551570000000000.0,1113600000000000.0,640904000000000.0,292752000000000.0
300906000000000.0,671238000000000.0,1176220000000000.0,1652190000000000.0,1971330000000000.0,2075210000000000.0,1954460000000000.0,1629880000000000.0,1147230000000000.0,642119000000000.0,286779000000000.0
298177000000000.0,648227000000000.0,1114010000000000.0,1555320000000000.0,1848780000000000.0,1939950000000000.0,1835180000000000.0,1536300000000000.0,1093590000000000.0,622730000000000.0,282078000000000.0
418934000000000.0,924307000000000.0,1553210000000000.0,2109240000000000.0,2449590000000000.0,2559070000000000.0,2435280000000000.0,2077810000000000.0,1516320000000000.0,885279000000000.0,397313000000000.0
423702000000000.0,928473000000000.0,1561680000000000.0,2110150000000000.0,2443900000000000.0,2549360000000000.0,2437560000000000.0,2086160000000000.0,1526270000000000.0,892851000000000.0,401376000000000.0
541569000000000.0,1188180000000000.0,1952660000000000.0,2561990000000000.0,2910780000000000.0,3009770000000000.0,2893990000000000.0,2541440000000000.0,1909290000000000.0,1151500000000000.0,517641000000000.0
618137000000000.0,1327160000000000.0,2125510000000000.0,2750220000000000.0,3085800000000000.0,3183700000000000.0,3077070000000000.0,2723940000000000.0,2085160000000000.0,1277650000000000.0,586122000000000.0
520665000000000.0,1124630000000000.0,1834430000000000.0,2400380000000000.0,2732240000000000.0,2838500000000000.0,2728320000000000.0,2382800000000000.0,1795340000000000.0,1082380000000000.0,492648000000000.0
291821000000000.0,621150000000000.0,1018600000000000.0,1368150000000000.0,1588680000000000.0,1654490000000000.0,1576410000000000.0,1352450000000000.0,1002070000000000.0,599202000000000.0,279491000000000.0
244940000000000.0,518440000000000.0,834443000000000.0,1100430000000000.0,1270340000000000.0,1318970000000000.0,1255770000000000.0,1089290000000000.0,817711000000000.0,500298000000000.0,232206000000000.0
171467000000000.0,356608000000000.0,565335000000000.0,745653000000000.0,852297000000000.0,890477000000000.0,849354000000000.0,732384000000000.0,556559000000000.0,345090000000000.0,163614000000000.0
109131000000000.0,217482000000000.0,330106000000000.0,415074000000000.0,463734000000000.0,480388000000000.0,464501000000000.0,413918000000000.0,322372000000000.0,212768000000000.0,104886000000000.0
174797000000000.0,358117000000000.0,544607000000000.0,684898000000000.0,763099000000000.0,786473000000000.0,761439000000000.0,680382000000000.0,537591000000000.0,349134000000000.0,168274000000000.0
205626000000000.0,426984000000000.0,671704000000000.0,879998000000000.0,997701000000000.0,1041300000000000.0,1003060000000000.0,870114000000000.0,659388000000000.0,413299000000000.0,196044000000000.0
129208000000000.0,257322000000000.0,390914000000000.0,493665000000000.0,552952000000000.0,573538000000000.0,552495000000000.0,491508000000000.0,386219000000000.0,248822000000000.0,122012000000000.0
100555000000000.0,196458000000000.0,290795000000000.0,351464000000000.0,387187000000000.0,397522000000000.0,388018000000000.0,352788000000000.0,286051000000000.0,191513000000000.0,95951200000000.0
65049600000000.0,124694000000000.0,185619000000000.0,229408000000000.0,255069000000000.0,261885000000000.0,253965000000000.0,227561000000000.0,181609000000000.0,120075000000000.0,62346900000000.0
