,p,z,mdens_sum,mdens_to_divide,serpent_burnup,mdens_ratio,corrected_burnup
fuelP6Z3,6,3,13.468285380515482,13.447991769033722,0.039656,1.001509044014177,0.03971740030747233
fuelP7Z3,7,3,13.467791044624386,13.447991769033722,0.0361121,1.0014722849277953,0.03616659474834436
fuelP8Z3,8,3,13.466762650423753,13.447991769033722,0.0801661,1.0013958129743397,0.08028412734075013
fuelP9Z3,9,3,13.465261316587625,13.447991769033722,0.111239,1.0012841729717346,0.11139426883945257
fuelP10Z3,10,3,13.46354058105164,13.447991769033722,0.130625,1.001156218139107,0.1307927450944328
fuelP11Z3,11,3,13.461547028925187,13.447991769033722,0.143779,1.0010079765160682,0.14394523988782265
fuelP12Z3,12,3,13.45932157992943,13.447991769033722,0.172375,1.0008424909153943,0.17254874995195726
fuelP13Z3,13,3,13.456657353585436,13.447991769033722,0.203096,1.0006443775918772,0.20326710653495292
fuelP14Z3,14,3,13.45392121984545,13.447991769033722,0.196112,1.0004409171951891,0.19623837017829823
fuelP15Z3,15,3,13.452045433711989,13.447991769033722,0.135344,1.000301432715597,0.13540367549686566
fuelP16Z3,16,3,13.451111672066588,13.447991769033722,0.0830869,1.0002319976905436,0.08311194510989754
fuelP17Z3,17,3,13.447715477745586,13.447991769033722,0.24984,0.9999794548291758,0.24989796230300543
fuelP18Z3,18,3,13.441401084932705,13.447991769033722,0.455036,0.9995099131369047,0.45502665120764885
fuelP19Z3,19,3,13.432935326495683,13.447991769033722,0.625906,0.9988803947238644,0.6255992516918675
fuelP20Z3,20,3,13.42490109454761,13.447991769033722,0.590546,0.9982829648558172,0.5898848215825993
fuelP21Z3,21,3,13.417437937659416,13.447991769033722,0.555554,0.9977280004405817,0.5546000942575087
fuelP22Z3,22,3,13.410965316058858,13.447991769033722,0.472139,0.99724669276939,0.4710663004000158
fuelP23Z3,23,3,13.395847604624127,13.447991769033722,1.11854,0.9961225315046915,1.1154603157302736
fuelP24Z3,24,3,13.378254447003096,13.447991769033722,1.29347,0.9948142947119281,1.2884546108253732
fuelP25Z3,25,3,13.356486077535267,13.447991769033722,1.61567,0.9931955868898461,1.6072916115372207
fuelP26Z3,26,3,13.329460810932606,13.447991769033722,2.00082,0.9911859733306757,1.987205594160942
fuelP27Z3,27,3,13.286187171770983,13.447991769033722,3.20308,0.9879681219291552,3.174847967456021
fuelP28Z3,28,3,13.242801365176657,13.447991769033722,3.1967,0.9847419296961832,3.1582376953709304
fuelP29Z3,29,3,13.161541334906767,13.447991769033722,5.9823,0.9786993895410796,5.8910216460214775
fuelP30Z3,30,3,13.066605834980829,13.447991769033722,7.08579,0.971639934006273,6.934858347416287
fuelP31Z3,31,3,12.959221686125291,13.447991769033722,8.05612,0.9636547901498641,7.827647905146616
fuelP32Z3,32,3,12.800518793896861,13.447991769033722,11.9728,0.9518535565564684,11.537646071506293
fuelP33Z3,33,3,12.62768541741463,13.447991769033722,13.2718,0.9390015724497999,12.632810031906137
fuelP34Z3,34,3,12.455669447162924,13.447991769033722,13.3385,0.9262103711160957,12.524872474121656
fuelP35Z3,35,3,12.214088253183265,13.447991769033722,19.0265,0.9082462618179371,17.622541626040395
fuelP36Z3,36,3,11.964960453349,13.447991769033722,19.9672,0.889720982793903,18.135134758971112
fuelP37Z3,37,3,11.653290565948897,13.447991769033722,25.4401,0.8665450400395524,22.634590774375173
fuelP38Z3,38,3,11.31487596598145,13.447991769033722,28.5872,0.8413803458770601,24.77209636861869
fuelP39Z3,39,3,11.020991244899907,13.447991769033722,25.5208,0.8195269177869074,21.472699531059277
fuelP40Z3,40,3,10.854585552384073,13.447991769033722,14.8264,0.8071528997644536,12.150633893875805
fuelP41Z3,41,3,10.719418682283052,13.447991769033722,12.1226,0.7971018176086581,9.784791742684565
fuelP42Z3,42,3,10.628825439575344,13.447991769033722,8.43057,0.7903652546880653,6.720022670477024
fuelP43Z3,43,3,10.574781051766442,13.447991769033722,4.92257,0.786346484544753,3.8906282917698296
fuelP44Z3,44,3,10.491173349308925,13.447991769033722,7.88938,0.78012937020579,6.203786228237683
fuelP45Z3,45,3,10.383738683548469,13.447991769033722,9.97238,0.7721404698847887,7.779746528852815
fuelP46Z3,46,3,10.321794635350125,13.447991769033722,5.82293,0.7675342766878996,4.496119906306233
fuelP47Z3,47,3,10.275734407669859,13.447991769033722,4.29077,0.7641092130448411,3.2933130483841393
fuelP48Z3,48,3,10.245169155501628,13.447991769033722,2.83141,0.7618363642289598,2.1635064669072936
fuelP1Z4,1,4,13.454889665511041,13.454889665511041,0.0459841,1.0,0.03503235955634091
fuelP2Z4,2,4,13.470246540670582,13.454889665511041,0.0593886,1.0011413601702661,0.0593886
fuelP3Z4,3,4,13.469441910686053,13.454889665511041,0.0624988,1.0010815581202657,0.06257013364100943
fuelP4Z4,4,4,13.46855457780174,13.454889665511041,0.0622758,1.001015609390371,0.06234315489718604
fuelP5Z4,5,4,13.467759432702575,13.454889665511041,0.0604686,1.0009565122800317,0.060530012477982585
fuelP6Z4,6,4,13.4670529271918,13.454889665511041,0.0579231,1.0009040030786678,0.0579785041564475
fuelP7Z4,7,4,13.466410050388467,13.454889665511041,0.0498864,1.000856222917008,0.04993149745918365
fuelP8Z4,8,4,13.464905951930872,13.454889665511041,0.110533,1.0007444346753362,0.11062764088768565
fuelP9Z4,9,4,13.462763681976536,13.454889665511041,0.160104,1.0005852159817912,0.16022318696926002
fuelP10Z4,10,4,13.46014076312118,13.454889665511041,0.196181,1.0003902742973507,0.19629580825652376
fuelP11Z4,11,4,13.457201826274577,13.454889665511041,0.219798,1.0001718453901158,0.2198837815100091
fuelP12Z4,12,4,13.453786021912038,13.454889665511041,0.254205,0.9999179745336869,0.2542486839573944
fuelP13Z4,13,4,13.449828801706513,13.454889665511041,0.293908,0.9996238643400026,0.29388389205924687
fuelP14Z4,14,4,13.446153716877646,13.454889665511041,0.272569,0.9993507231311016,0.27246647707929017
fuelP15Z4,15,4,13.443554684960622,13.454889665511041,0.19222,0.9991575567817941,0.19209519600026034
fuelP16Z4,16,4,13.441948390757195,13.454889665511041,0.120878,0.9990381731046805,0.1207761671486697
fuelP17Z4,17,4,13.43717267037028,13.454889665511041,0.351418,0.9986832299943584,0.35107999671610063
fuelP18Z4,18,4,13.428702590193444,13.454889665511041,0.620424,0.9980537131133284,0.6196070442860198
fuelP19Z4,19,4,13.416032203385285,13.454889665511041,0.923132,0.9971120192664709,0.921335320293733
fuelP20Z4,20,4,13.403535127465148,13.454889665511041,0.925004,0.9961832063047287,0.9223326062695627
fuelP21Z4,21,4,13.391552858383719,13.454889665511041,0.887679,0.9952926550345728,0.8842909123893753
fuelP22Z4,22,4,13.382139661894978,13.454889665511041,0.700308,0.9945930434641509,0.6970114086619517
fuelP23Z4,23,4,13.35913980340579,13.454889665511041,1.69358,0.9928836382545234,1.6844228865500168
fuelP24Z4,24,4,13.330872578827924,13.454889665511041,2.08242,0.990782749634803,2.0676007459739845
fuelP25Z4,25,4,13.295744699137835,13.454889665511041,2.60176,0.9881719605043553,2.577778926689845
fuelP26Z4,26,4,13.253975892219437,13.454889665511041,3.07925,0.9850676015718949,3.0428285093830363
fuelP27Z4,27,4,13.184072801626591,13.454889665511041,5.1782,0.9798722345097607,5.100877054459587
fuelP28Z4,28,4,13.117543990677033,13.454889665511041,4.97147,0.9749276520863097,4.87140541769824
fuelP29Z4,29,4,12.992018475836748,13.454889665511041,9.36037,0.9655982916856782,9.12568354675913
fuelP30Z4,30,4,12.84361874357178,13.454889665511041,11.1916,0.9545688640237509,10.806589841229435
fuelP31Z4,31,4,12.680675983349497,13.454889665511041,12.4318,0.9424585632875097,11.867009203770467
fuelP32Z4,32,4,12.448251746041018,13.454889665511041,17.9974,0.9251842308264823,16.961803746910626
fuelP33Z4,33,4,12.193032521539248,13.454889665511041,20.0254,0.9062157196869243,18.52718429599264
fuelP34Z4,34,4,11.947154781709315,13.454889665511041,19.7937,0.8879414903218041,17.937362090767074
fuelP35Z4,35,4,11.61230329790503,13.454889665511041,27.3395,0.8630545167286567,24.275876374652967
fuelP36Z4,36,4,11.277740313998951,13.454889665511041,28.3002,0.8381889851469548,24.42461543432433
fuelP37Z4,37,4,10.876304718204032,13.454889665511041,34.7855,0.808353319022994,29.156822942829397
fuelP38Z4,38,4,10.451896872999496,13.454889665511041,38.1928,0.7768102996630938,30.873276642781406
fuelP39Z4,39,4,10.084669273486034,13.454889665511041,34.4013,0.7495170547058514,26.723284161799988
fuelP40Z4,40,4,9.874647100171545,13.454889665511041,20.3745,0.733907697919163,15.27103523110437
fuelP41Z4,41,4,9.70971737732654,13.454889665511041,16.4157,0.7216497213065587,12.047608596731605
fuelP42Z4,42,4,9.59796427994588,13.454889665511041,11.3599,0.7133439603409287,8.197868669070376
fuelP43Z4,43,4,9.535088258046317,13.454889665511041,6.41802,0.7086708620500721,4.578255804347288
fuelP44Z4,44,4,9.43439093799312,13.454889665511041,10.2234,0.7011867932426322,7.2450256910827076
fuelP45Z4,45,4,9.305856330683584,13.454889665511041,13.3276,0.6916337897989095,9.345137105620505
fuelP46Z4,46,4,9.235542261889206,13.454889665511041,7.60206,0.686407877841072,5.257841568078698
fuelP47Z4,47,4,9.182614458584787,13.454889665511041,5.41809,0.6824741552598985,3.719019658851934
fuelP48Z4,48,4,9.147949129225513,13.454889665511041,3.63405,0.6798977439907573,2.480145203922234
fuelP1Z5,1,5,13.472424277519337,13.472424277519337,0.0524331,1.0,0.03564914640044178
fuelP2Z5,2,5,13.470004458891374,13.472424277519337,0.0678374,0.9998203872905042,0.0678374
fuelP3Z5,3,5,13.469093237832203,13.472424277519337,0.07543,0.999752751277831,0.07541645181332272
fuelP4Z5,4,5,13.46809935088852,13.472424277519337,0.075999,0.9996789793327668,0.07598020934436388
fuelP5Z5,5,5,13.467113663830652,13.472424277519337,0.0744748,0.9996058160298925,0.07445089205001194
fuelP6Z5,6,5,13.466104379991023,13.472424277519337,0.0711892,0.9995309012395891,0.07116113835851522
fuelP7Z5,7,5,13.46528142280695,13.472424277519337,0.0614067,0.999469816674026,0.061377894193149075
fuelP8Z5,8,5,13.463496944711856,13.472424277519337,0.134188,0.9993373625545346,0.13411685575985421
fuelP9Z5,9,5,13.46080297506537,13.472424277519337,0.198503,0.9991374007962799,0.1983714644791628
fuelP10Z5,10,5,13.457565067991586,13.472424277519337,0.246747,0.9988970649066816,0.24653415623427966
fuelP11Z5,11,5,13.453743965586291,13.472424277519337,0.282087,0.9986134409406764,0.28177587634833107
fuelP12Z5,12,5,13.449328164256471,13.472424277519337,0.322713,0.9982856750361251,0.32226553936628854
fuelP13Z5,13,5,13.444529586882656,13.472424277519337,0.360774,0.9979294973152509,0.36015551612548297
fuelP14Z5,14,5,13.43996872430398,13.472424277519337,0.33584,0.9975909641392816,0.3351446423783539
fuelP15Z5,15,5,13.43677464658642,13.472424277519337,0.235441,0.9973538815139303,0.2348738141879166
fuelP16Z5,16,5,13.434669171828657,13.472424277519337,0.149633,0.997197601195378,0.14923705335257392
fuelP17Z5,17,5,13.42886013961895,13.472424277519337,0.432355,0.9967664217661939,0.4311433688648277
fuelP18Z5,18,5,13.418659745665112,13.472424277519337,0.746248,0.9960092904775913,0.7438349487101786
fuelP19Z5,19,5,13.403106765126521,13.472424277519337,1.14431,0.994854859751672,1.1397433911864125
fuelP20Z5,20,5,13.387150947307584,13.472424277519337,1.19288,0.9936705281503014,1.1867424651005745
fuelP21Z5,21,5,13.371064857660727,13.472424277519337,1.16863,0.9924765270324998,1.161233189312287
fuelP22Z5,22,5,13.359395105373935,13.472424277519337,0.877926,0.9916103316064646,0.8713209474715344
fuelP23Z5,23,5,13.330190755656396,13.472424277519337,2.13394,0.989442618571605,2.116036951028299
fuelP24Z5,24,5,13.293279535489201,13.472424277519337,2.72682,0.9867028577529982,2.698031921173424
fuelP25Z5,25,5,13.24725200840349,13.472424277519337,3.4101,0.9832864327549735,3.364755415223499
fuelP26Z5,26,5,13.19466113162287,13.472424277519337,3.89547,0.9793828385912732,3.830362800204017
